artist_name,duration,id,link,popularity,track_name
Claire Leslie,180006,4HR5BN6hc4AmcPO1NK0fgK,,45,24/7
Grace Marr,155494,5BH8UixV8wu3FR5xJksIJN,,2,Belong
Cade Kellam,242886,7LcJx95sWXpqCMLxQJfhMM,,44,Blessed
OAKS,196130,2TUW3yDwsfNcBOtk8RPSqu,,27,Clean
Gabriel Eziashi,817850,2SHWUh366VIpgpDHxxtnID,,36,Contemporary Praise Medley - Live
ONE HOUSE,304015,4Cr2oltVAPC6rAUMTgot0M,,29,Down In My Heart
Gabriel Eziashi,178512,3zfPYqEqCoO6ud6PMrXqXK,,42,Dry Bones
Dâmares Gomes,198688,1V9AYsVkGvDL0XrkYvUOGv,,37,Even Better
Cade Kellam,294186,4sZLEFie6r4WxCjCUzFv4f,,25,Faithful
Claire Leslie,170201,4PqpoY1wcn4GsM4gKw7lBO,,37,Falling At The Thought Of You
Samantha Ebert,226000,0KIv0Lho9vsPCj8Sac21IV,,54,Flowers
Alabaster Co.,332991,0FYUGkkaI0OpnHVeH44kjb,,16,For the Beauty of the Earth
G.E.S,130841,5JD1bFe82TNbO4TaJiyGj5,,40,Giving It to You
Paul Tomisin,423093,4ZWMGSggxHp87KTvRoyfFn,,45,Grace Story
sxxnt.,88520,3MuYxyhq6m5OLG6NCA73RX,,37,Great Is Thy Faithfulness (Reprise)
DKG KIE,164181,6qLrRZYhtWKkanyYOJfl8B,,45,HOLY HUH?
Don Moen,263720,0O0XO2TXrVSojmmYPZEIRu,,52,How Great Thou Art
sxxnt.,228026,5LF2W7bxWbF4QiaL6QXYSq,,37,I Surrender All
Sarah Juers,226063,4V2rRHpWP0cH2GwsSe3aqg,,45,I can always find You
Cade Kellam,280000,4HBcbRSYjIcUA1I7gTqZlQ,,14,Idols
Bidemi Olaoba,269538,6OJooIGQRv2xjNr2AEvckI,,51,Isi Gini
Bidemi Olaoba,188220,7zCbwXUaFqcNZY3gZDEn4k,,43,Iyanu
Lofi Hymns.,186506,51dzl3snlEyQOd10f1brVh,,37,Jesus paid it all.
sxxnt.,173114,5MgOEKlQ9eQMD9ysnf5xsX,,39,"Jesus, Jesus"
Claire Leslie,164400,1kxOHIlL5ae2zMPrU9aqYC,,44,Light Up
Cade Kellam,136418,6vjatxFM1vEdZVuJoB1e4e,,25,Like a Child
Cade Kellam,279375,0aw4lGVn0ZfD6Q2AKWEd1o,,42,Lilies
Anendlessocean,208000,6dFqmkl3LQjUI8j3DuRc1M,,45,Lmly
sxxnt.,214213,3OmgBKSdpq6LPLb9wN7UYy,,36,Love & Sorrow
Leslie Perez,296470,4ZEHLlz2jMr2yDngXIKiCe,,23,Make It Rain
Cade Kellam,264000,1FqwlZmZYv65rfF1HKqXFk,,35,Many Moons
kaestrings,140903,1wg9bUjsMMJ0U9a94ZUThB,,37,Masoyiyata (Acoustic)
Sarah Nathalié,209914,1laqpT8yxLoMVI1HTI8FAT,,20,Merry & Bright
Cade Kellam,188375,2EqR1jbioxz5zlS5CHUpKD,,31,Mountains
Remii,186666,5QuvTS6a1bovrluMVSDEpZ,,39,My Baby
Cecily,119210,6eAhDB7pprRzDYvCnOfrQb,,14,Nineteen (Prelude)
Cade Kellam,197419,78rXmnzb9KW1GJ345gcH0D,,18,No One
Cade Kellam,234562,1d6mh56Nm1NB0MVrC6g1qj,,38,Now I Know
Claire Leslie,143596,6Ts6kvPCfN1RKWVojPn6Gz,,42,Original
Claire Leslie,176000,67GgkBHYX6x3qzXkNqS5oJ,,47,Passenger Seat
Sarah Nathalié,137239,5SLZcAJwJHWsLotZI4E1W4,,20,Plant
Bidemi Olaoba,234331,36F3Fmu0wxjutn8LTeZZvL,,42,Prayer
Tekoa,204600,2alkWeDWQSytDexz9nhMZ1,,45,Psalm 46
G.E.S,182684,7ouvLatrak6SvCOileFsiO,,30,Righteous Man
Cade Kellam,457094,0qyUwH5jIuOthSmYb4wy1n,,18,Shepherd - Live
Alabaster Co.,155778,5dfYyiSz7BfanN5MGflDBm,,30,Shepherds
ELEVATION RHYTHM,280374,3HQ9mUzgLQ6Hvl1Q1YiiKN,,57,Sing Of Your Love
Cade Kellam,174250,2N0wbZGLuD4MhlHYDGtPAg,,29,Stars
sxxnt.,244400,5JQTZfCKj3CRRFnfGRCZew,,37,"Sun, Moon & Stars"
121SELAH,226666,6tM4E2Je4omnd7FwHt6tyf,,46,Te Amo
Bidemi Olaoba,169900,0Iy5fEEflk6ZLAwlezqXVE,,44,The Anthem (Iwo Tani)
Cade Kellam,257334,37YidIwgcS61ZcHKeGWCOZ,,29,Through the Storm
Claire Leslie,166837,2axBVre427GCNKwAmA2V3G,,35,Twenty Something
sxxnt.,142717,04a2j62vStA6fwFMlR7Vq7,,40,What Can Wash Away?
Katie Bethan,250243,20yuDEDFVzyIAnu1TPYtx3,,32,When All Creation Groans
Cade Kellam,224949,3eBi1gGlpJVvBC061Txf1G,,17,Wildfire
Josiah Queen,165992,2MB2pKgf2fWBGKcewyUBUS,,67,Yesterday Is Dead
Sound Of Salem,120673,2wsRC2hWCDbyYURZ4C65hu,,27,You Are The One Alive In Me RAW
Strings And Heart,120509,1uTwNR68qPRWXOIYpnIv8Y,,41,bright eyed
Strings And Heart,122391,1MlwlvguOnqk3vZCAWe168,,56,dopamine
Strings And Heart,137845,1oZzBciFi4arS8MrBkso9H,,52,empty airport
Strings And Heart,177804,5uHmaCMrEFNSgUbV4sPJS8,,62,evergreen love
sxxnt.,171111,0AbLFT7RZYVEzMZrNUW9cJ,,38,everything i once held dear
Sinmidele,203235,77UapKevrwTVF4nAZSCa6s,,53,heaven on earth
Strings And Heart,148016,6kkpKpSIxrWihMFpbTS3VU,,51,if i don't got you
Josiah Queen,172258,5eOtOmwDRitSjJRNcgkKOc,,65,love you to death
Sinmidele,210745,2KHUXdmkR1C0bus8w76k0N,,47,perfect union
Strings And Heart,176181,5aBhoxCIkOb1odJhyWOM6v,,55,sunset silhouette
Lord's Child,215000,7y3i2qVfAF9iheJ6IyxjnX,,31,waters
